id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
5730,Housing,Structure,0.88,"[{'topic': 'Housing', 'subtopic': 'Plumbing/Kitchen Facilities'}]","The question asks about sources of water entering the dwelling through roof, basement, walls — a building/structural condition. It is also related to plumbing issues that can cause interior water entry.",Housing,Structure,0.92,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}, {'topic': 'Housing', 'subtopic': 'Plumbing/Kitchen Facilities'}]","Question addresses water intrusion into the home structure from external sources (roof, basement, walls), which relates to structural integrity and maintenance issues affecting housing quality."
5731,Housing,Plumbing/Kitchen Facilities,0.95,"[{'topic': 'Housing', 'subtopic': 'Structure'}]","This asks specifically about inside water leaks from broken pipes, water heaters, or backed-up plumbing, which maps to plumbing/kitchen facilities. It also reflects building condition impacts.",Housing,Plumbing/Kitchen Facilities,0.93,"[{'topic': 'Housing', 'subtopic': 'Structure'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question specifically addresses internal water leaks from plumbing systems, water heaters, and backed-up plumbing, which directly relates to plumbing and kitchen facilities condition."
5732,Housing,Plumbing/Kitchen Facilities,0.9,[],"This is a timing follow-up about interior plumbing-related leaks, so it falls under plumbing/kitchen facilities within housing.",Housing,Plumbing/Kitchen Facilities,0.91,"[{'topic': 'Housing', 'subtopic': 'Structure'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about the timing of internal water leaks within the past 12 months, continuing to assess plumbing system functionality and maintenance issues."
5733,Housing,Plumbing/Kitchen Facilities,0.95,"[{'topic': 'Housing', 'subtopic': 'Structure'}]","The question asks for the specific plumbing-related sources of water (backups, pipe leaks, water heater), clearly a plumbing/kitchen facilities domain, with relevance to structural impacts.",Housing,Plumbing/Kitchen Facilities,0.94,"[{'topic': 'Housing', 'subtopic': 'Structure'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question identifies the source of internal water leaks (plumbing fixtures, pipes, water heaters), directly assessing the condition and functionality of plumbing infrastructure."
5734,Housing,Plumbing/Kitchen Facilities,0.9,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]","A sewage system breakdown is a plumbing/utility failure affecting the dwelling, so it maps to plumbing/kitchen facilities and is related to utilities.",Housing,Plumbing/Kitchen Facilities,0.9,"[{'topic': 'Housing', 'subtopic': 'Utilities'}, {'topic': 'Housing', 'subtopic': 'Structure'}]","Question addresses sewage system breakdowns, which relates to plumbing and utility infrastructure functionality in the home."
5735,Housing,Plumbing/Kitchen Facilities,0.85,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]","This asks about the duration of sewage system breakdowns, a detail about plumbing/utility service failures in the housing unit.",Housing,Plumbing/Kitchen Facilities,0.88,"[{'topic': 'Housing', 'subtopic': 'Utilities'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question measures the duration of sewage system breakdowns, assessing the severity and impact of plumbing/utility infrastructure failures on housing habitability."
5736,Housing,Structure,0.82,"[{'topic': 'Housing', 'subtopic': 'Plumbing/Kitchen Facilities'}]","Presence and size of mold in the dwelling is a housing/structural condition; mold is often related to plumbing or moisture problems, so plumbing is a relevant secondary concept.",Housing,Structure,0.91,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Question asks about mold presence in the home, which relates to structural condition and housing quality, with potential health implications."
5737,Housing,Structure,0.85,"[{'topic': 'Housing', 'subtopic': 'Plumbing/Kitchen Facilities'}]","This asks for the locations of mold within rooms of the dwelling, a structural/housing condition, with bathrooms/kitchens tying to plumbing-related moisture sources.",Housing,Structure,0.9,"[{'topic': 'Housing', 'subtopic': 'Plumbing/Kitchen Facilities'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Question identifies the location of mold within the home, providing detail on structural areas affected by moisture and mold issues."
5738,Housing,Structure,0.92,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]",The question concerns the physical installation of electrical wiring in finished areas (a structural attribute of the building) and is directly related to the electrical utility system.,Housing,Structure,0.89,"[{'topic': 'Housing', 'subtopic': 'Utilities'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question assesses the safety and condition of electrical wiring in the home, relating to structural integrity and housing quality standards."
5739,Housing,Utilities,0.9,"[{'topic': 'Housing', 'subtopic': 'Structure'}]","This asks whether electrical outlets/wall plugs in rooms are working, which maps to utilities (electrical service), with secondary relevance to the building's physical condition.",Housing,Structure,0.87,"[{'topic': 'Housing', 'subtopic': 'Utilities'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question verifies the functionality of electrical outlets in all rooms, assessing the condition and adequacy of electrical infrastructure in the home."
5770,Housing,Utilities,0.85,"[{'topic': 'Social', 'subtopic': 'Medical Care'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Question asks about electrically powered medical devices in the home, which pertains to household utilities and power needs; it also relates to medical care and potential disability accommodations.",Housing,Housing,0.85,"[{'topic': 'Social', 'subtopic': 'Disability'}, {'topic': 'Economic', 'subtopic': 'Energy'}]","Question addresses medical devices in the home requiring electrical power, relating to housing conditions and accessibility needs for health-dependent residents."
5771,Housing,Utilities,0.95,"[{'topic': 'Economic', 'subtopic': 'Emergency'}]",Asking about having a generator concerns household electrical backup and utilities; it also ties to emergency preparedness.,Housing,Utilities,0.9,"[{'topic': 'Economic', 'subtopic': 'Energy'}, {'topic': 'Economic', 'subtopic': 'Emergency'}]","Question concerns generator ownership for backup electricity, directly related to housing utilities and emergency preparedness."
5772,Housing,Homeowner,0.98,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Question asks about ownership of the land under a manufactured/mobile home, which directly concerns homeownership/tenure.",Housing,Homeownership,0.95,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Question directly asks about land ownership for a manufactured/mobile home, a key homeownership characteristic."
5773,Housing,Home Value,0.9,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","Asking how much the land would sell for concerns the market value of residential land, a home value measure; it also relates to ownership/value considerations.",Housing,Home Value,0.92,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks for estimated market value of land, directly related to property valuation and housing costs."
5774,Housing,Vacancy/Vacancies,0.98,[],"The question directly asks how many months a housing unit has been vacant, which is a vacancy metric.",Housing,Vacancy/Vacancies,0.98,[],"Question directly asks about the duration of housing unit vacancy in months, a core vacancy measurement."
5775,Housing,Occupancy,0.92,"[{'topic': 'Social', 'subtopic': 'Migration'}]","Asking whether a unit is intended for year-round, seasonal, or migrant-worker use pertains to occupancy status; it also relates to migration/seasonal worker housing patterns.",Housing,Occupancy,0.93,"[{'topic': 'Housing', 'subtopic': 'Vacancy/Vacancies'}]","Question addresses intended use patterns (year-round, seasonal, or migrant worker) which determines occupancy classification."
5776,Housing,Occupancy,0.9,"[{'topic': 'Social', 'subtopic': 'Migration'}]","Asking during which months a unit is occupied addresses occupancy patterns and seasonal use, which can reflect migration/seasonal residency.",Housing,Occupancy,0.92,"[{'topic': 'Housing', 'subtopic': 'Vacancy/Vacancies'}]","Question asks about seasonal occupancy patterns throughout the year, relating to housing occupancy characteristics."
5777,Housing,Year Moved In,0.9,"[{'topic': 'Housing', 'subtopic': 'Vacancy/Vacancies'}]","Question asks how long since the unit was last occupied as a permanent home, relating to time since move-in (year moved in) and vacancy duration.",Housing,Vacancy/Vacancies,0.9,"[{'topic': 'Housing', 'subtopic': 'Occupancy'}]","Question measures duration since last permanent occupancy, a key indicator of housing vacancy status."
5778,Housing,Construction,0.88,"[{'topic': 'Housing', 'subtopic': 'Heating Fuel'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","Asking whether construction and heating make a unit suitable for year-round use pertains to building construction/standards and heating adequacy, which affect occupancy suitability.",Housing,Structure,0.88,"[{'topic': 'Housing', 'subtopic': 'Heating Fuel'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","Question addresses construction and heating suitability for year-round use, relating to housing structure characteristics and occupancy capability."
5779,Housing,Tenure (Own/Rent),0.95,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]",Asking if ownership is time-shared concerns the form of ownership/tenure and specifics of homeownership arrangements.,Housing,Homeownership,0.87,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Question asks about time-shared ownership status, a specific homeownership arrangement characteristic."
5760,Housing,Housing,0.65,"[{'topic': 'Social', 'subtopic': 'Household'}]","This appears to be a time-reference follow-up for a household pest/mice question about conditions inside the home, so it maps to general housing conditions with a household context.",Housing,Housing,0.65,"[{'topic': 'Social', 'subtopic': 'Moving'}]","Question appears to reference mice presence in housing unit over a 12-month period, relating to housing quality and pest issues."
5761,Housing,Housing,0.9,[],Asking about sightings of cockroaches inside the building concerns housing conditions and the physical living environment.,Housing,Housing,0.85,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]","Question directly addresses pest infestation (cockroaches) within the home, a key housing quality and habitability indicator."
5762,Housing,Utilities,0.95,"[{'topic': 'Economic', 'subtopic': 'Energy'}]","Question asks whether the home experienced power loss, which directly concerns household utilities and energy service.",Housing,Utilities,0.9,"[{'topic': 'Economic', 'subtopic': 'Energy'}]","Question asks about power outages affecting the home, directly related to utility service reliability and housing conditions."
5763,Housing,Utilities,0.95,"[{'topic': 'Economic', 'subtopic': 'Energy'}]","This asks about frequency/duration of power outages affecting the home, a utilities/energy issue for housing.",Housing,Utilities,0.9,"[{'topic': 'Economic', 'subtopic': 'Energy'}]","Question measures frequency of extended power outages, a utility reliability and housing quality metric."
5764,Housing,Utilities,0.85,"[{'topic': 'Housing', 'subtopic': 'Expenditures'}]",Food spoilage due to a power outage is an outcome of a utilities failure in the dwelling and can affect household expenditures.,Housing,Utilities,0.85,"[{'topic': 'Economic', 'subtopic': 'Energy'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Question addresses consequences of power outages on household food, relating to utility reliability and housing impacts."
5765,Housing,Utilities,0.85,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]",Refrigerated medicine spoiling is a consequence of utility (power) loss in the home and has direct medical care implications for occupants.,Housing,Utilities,0.8,"[{'topic': 'Economic', 'subtopic': 'Energy'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Question measures impact of power outages on refrigerated medicine, relating to utility reliability and health-related housing consequences."
5766,Housing,Occupancy,0.9,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]",Asking whether household members had to leave and stay elsewhere overnight reflects changes to occupancy/living arrangements caused by a utilities (power) outage.,Housing,Utilities,0.85,"[{'topic': 'Economic', 'subtopic': 'Energy'}, {'topic': 'Social', 'subtopic': 'Moving'}]","Question addresses displacement caused by power outages, a significant housing utility reliability impact."
5767,Economic,Employment Status,0.9,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]","Missing work due to a power outage is primarily an employment impact (work absence), related secondarily to household utility failure.",Housing,Utilities,0.75,"[{'topic': 'Economic', 'subtopic': 'Energy'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question measures employment disruption from power outages, relating to utility reliability impacts on household economic activity."
5768,Housing,Plumbing/Kitchen Facilities,0.9,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]",Pipes freezing in the home as a result of power loss pertains to plumbing/facilities issues within the housing unit caused by a utilities failure.,Housing,Utilities,0.85,"[{'topic': 'Economic', 'subtopic': 'Energy'}, {'topic': 'Housing', 'subtopic': 'Plumbing/Kitchen Facilities'}]","Question addresses pipe damage from power outages, relating to utility reliability and housing structural integrity."
5769,Housing,Plumbing/Kitchen Facilities,0.9,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]",Basement or crawlspace flooding due to a sump pump failure from a power outage concerns plumbing/water-management facilities tied to household utilities.,Housing,Utilities,0.85,"[{'topic': 'Economic', 'subtopic': 'Energy'}, {'topic': 'Housing', 'subtopic': 'Structure'}]","Question measures water damage from power outage-related sump pump failure, relating to utility reliability and housing structural damage."
5780,Housing,Vacancy/Vacancies,0.95,"[{'topic': 'Housing', 'subtopic': 'Occupancy'}]","Question asks why a housing unit is vacant and provides vacancy-related categories (for rent, for sale, held for occasional use), so it maps to vacancy/vacancies with relevance to occupancy status.",Housing,Vacancy/Vacancies,0.98,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","Question directly asks about reasons for unit vacancy and rental status, which are core housing vacancy concepts."
5781,Housing,Occupancy,0.95,[],"Asks how many nights owners stayed at the unit in the past year, which measures occupancy/usage of the housing unit.",Housing,Occupancy,0.92,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}, {'topic': 'Housing', 'subtopic': 'Vacancy/Vacancies'}]","Question measures occupancy patterns by tracking nights owner stays at property, indicating usage and occupancy status."
5782,Housing,Rental,0.95,[],"Asks number of nights the unit was rented out, directly describing rental activity of the housing unit.",Housing,Rental,0.95,"[{'topic': 'Housing', 'subtopic': 'Occupancy'}, {'topic': 'Economic', 'subtopic': 'Revenue'}]","Question asks about nights unit was rented out, directly measuring rental activity and income-generating use of housing."
5783,Housing,Homeownership,0.95,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Asks the owner's reasons for owning the property, which pertains to the purpose and nature of homeownership and tenure.",Housing,Homeownership,0.9,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}, {'topic': 'Economic', 'subtopic': 'Investment'}]","Question explores owner motivations for property ownership, relevant to understanding homeownership patterns and investment behavior."
5784,Housing,Occupancy,0.8,"[{'topic': 'Social', 'subtopic': 'Migration'}]","Asking whether the unit is within 150 miles of the owner's current residence pertains to proximity and occupancy/usage patterns (e.g., second homes) and relates to migration/mobility considerations.",Housing,Occupancy,0.88,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}, {'topic': 'Housing', 'subtopic': 'Vacancy/Vacancies'}]","Question determines if property is primary residence or secondary/vacation home by measuring distance from owner's current residence, indicating occupancy type."
5785,Housing,Home Value,0.98,[],"Asks the respondent's estimate of what the property would sell for on the market, which is a direct measure of home value.",Housing,Home Value,0.97,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}, {'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question directly asks for estimated market value of property, which is a core home value measurement."
5786,Housing,Home Value,0.95,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Purchase price is an aspect of the property's value and acquisition cost, so it maps to home value and relates to housing costs.",Housing,Home Value,0.96,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}, {'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question asks for original purchase price, which is fundamental to understanding home value and acquisition costs."
5787,Housing,Homeownership,0.95,"[{'topic': 'Housing', 'subtopic': 'Construction'}]","Asks how the owner obtained the home (bought, built, contractor, gift), which is an acquisition/ownership question tied to homeownership and construction methods.",Housing,Construction,0.94,"[{'topic': 'Housing', 'subtopic': 'Home Value'}, {'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question asks how home was obtained (built vs. purchased), directly measuring construction and acquisition methods for housing units."
5788,Housing,Homeownership,0.95,[],"Directly asks whether the home was received as a gift/inheritance or purchased, which concerns the source of ownership under homeownership.",Housing,Home Value,0.9,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}, {'topic': 'Social', 'subtopic': 'Inheritance'}]","Question distinguishes between purchased and inherited/gifted homes, relevant to understanding home acquisition methods and ownership origins."
5789,Housing,Year Moved In,0.85,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Asks when the owner bought or took ownership of the property, which is a date/time attribute closely related to move-in/ownership timing.",Housing,Year Moved In,0.93,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}, {'topic': 'Housing', 'subtopic': 'Homeownership'}]","Question asks when owner acquired property, directly measuring tenure and timing of homeownership."
5800,Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Asks whether any mortgage/home-equity debt exists on the property, which is a housing cost/finance question related to homeownership.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question directly asks about mortgage and loan debt on a property, which is a core housing cost component."
5801,Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Requests the number of mortgages/loans secured by the property, a direct measure of mortgage-related housing costs and financing.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about the number and types of mortgages and loans secured by property value, directly related to housing debt costs."
5802,Housing,"Costs (Mortgage, Taxes, Insurance)",0.88,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Introductory prompt to collect detailed information on each mortgage/loan, clearly part of mortgage-related housing finance data collection.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question introduces detailed inquiry into individual mortgage and loan details, which are housing cost components."
5803,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Classifies the type of loan (regular mortgage vs. home equity), which pertains to mortgage/loan categories within housing finance.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question classifies the type of mortgage or home equity loan, which are specific housing debt instruments."
5804,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Distinguishes between home equity lump-sum loans and lines of credit, a mortgage-type classification relevant to housing finance.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question distinguishes between home equity loan types, which are housing-secured debt products."
5805,Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Asks whether there is an outstanding balance on a specific mortgage/loan, directly addressing mortgage debt as a housing cost.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about outstanding balance on a mortgage or loan, directly measuring housing debt obligation."
5806,Housing,"Costs (Mortgage, Taxes, Insurance)",0.93,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Requests the current payment amount on a mortgage/loan, which is a housing cost (mortgage payment) measure.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about current payment amount on a mortgage or loan, which is a direct housing cost."
5807,Housing,"Costs (Mortgage, Taxes, Insurance)",0.88,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Asks payment frequency for a mortgage/loan, a detail about how mortgage costs are incurred and scheduled.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about payment frequency for a mortgage or loan, which relates to housing cost payment structure."
5808,Housing,"Costs (Mortgage, Taxes, Insurance)",0.88,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Follow-up specifying payment frequency, further detail on mortgage payment scheduling relevant to housing costs.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question specifies payment frequency details for a mortgage or loan, which relates to housing cost payment structure."
5809,Housing,"Costs (Mortgage, Taxes, Insurance)",0.94,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Asks whether Private Mortgage Insurance is included in the mortgage payment, which is a mortgage/insurance cost component of housing expenses.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about Private Mortgage Insurance (PMI) inclusion in mortgage payment, which is a direct housing cost component."
5790,Housing,Plumbing/Kitchen Facilities,0.92,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","Question asks about inspection/testing for lead pipes, which pertains to plumbing and kitchen facilities; it's asked in the context of the owner acquiring the home.",Housing,Housing,0.85,"[{'topic': 'Housing', 'subtopic': 'Plumbing/Kitchen Facilities'}]","Question addresses housing condition and safety inspection related to lead pipes, which is a housing quality concern."
5791,Housing,Home Value,0.95,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Asking the price of the dwelling corresponds to its value/purchase price, with a secondary link to financing/cost considerations.",Housing,Home Value,0.95,[],"Question directly asks about the purchase price of the housing unit, which is a core home value metric."
5792,Housing,Construction,0.9,"[{'topic': 'Housing', 'subtopic': 'Home Value'}]","The question requests construction cost (construction) and land value (home/parcel value), so construction is primary with home value secondary.",Housing,Home Value,0.9,"[{'topic': 'Housing', 'subtopic': 'Construction'}]","Question asks about construction costs and land value at time of acquisition, both components of home value assessment."
5793,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Whether the buyer had a down payment relates to purchase financing and mortgage-related costs, and is tied to homeownership status.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.85,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Question addresses down payment, which is a key component of mortgage financing and homeownership costs."
5794,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]",Asking the total amount (or percent) of the down payment is a mortgage/financing cost question related to owning the home.,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Home Value'}]","Question asks for the specific amount of down payment, a critical housing financing cost component."
5795,Housing,"Costs (Mortgage, Taxes, Insurance)",0.88,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","This asks about the financing method (borrowing full price vs. paying upfront) explaining lack of down payment, which is a mortgage/financing issue tied to ownership.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.85,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Question distinguishes between financing methods (mortgage vs. cash purchase), both related to housing acquisition costs."
5796,Housing,Homeowner,0.95,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]",Asking whether this is the first home ever owned directly addresses homeowner status and tenure history.,Housing,Homeownership,0.9,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Question asks about first-time homeownership status, a key homeownership characteristic."
5797,Housing,Vacancy/Vacancies,0.9,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","Determining whether the home is currently for rent or sale relates to vacancy/for-sale-for-rent status, with links to rental and occupancy classifications.",Housing,Vacancy/Vacancies,0.8,"[{'topic': 'Housing', 'subtopic': 'Rental'}]","Question addresses whether a housing unit is currently for rent or sale, relating to vacancy and occupancy status."
5798,Housing,Vacancy/Vacancies,0.9,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","The categorical question about rent-only, rent-or-sale, or sale-only is a vacancy/market status classification tied to rental/occupancy status.",Housing,Vacancy/Vacancies,0.8,"[{'topic': 'Housing', 'subtopic': 'Rental'}]","Question categorizes the listing status of a housing unit (rent only, rent or sale, sale only), relating to vacancy classification."
5799,Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","Asking whether the respondent has a reverse annuity or home equity conversion mortgage concerns the type of mortgage/financing, linked to homeowner status.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.85,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Question asks about reverse mortgage products, which are specialized housing financing instruments for homeowners."
5810,Housing,"Costs (Mortgage, Taxes, Insurance)",0.98,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","Asks for the unpaid principal balance of a mortgage, which is a mortgage-related housing cost; secondary relates to homeowner status since mortgages are held by owners.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question directly asks about the unpaid principal balance on a mortgage, which is a core mortgage cost component."
5811,Housing,"Costs (Mortgage, Taxes, Insurance)",0.98,"[{'topic': 'Housing', 'subtopic': 'Expenses'}]","Asks for the current interest rate on a mortgage, a direct mortgage cost affecting housing expenses.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about the current interest rate on a mortgage, which is a key component of mortgage costs."
5812,Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Asks whether the mortgage was refinanced, a mortgage-specific characteristic tied to homeownership financing choices.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks whether a mortgage is refinanced, which relates to mortgage cost structure and terms."
5813,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Asks if the mortgage was obtained at the time of purchase, relating mortgage timing to tenure/ownership of the dwelling.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.85,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about timing of mortgage acquisition relative to home purchase, relevant to understanding mortgage cost history."
5814,Housing,"Costs (Mortgage, Taxes, Insurance)",0.97,"[{'topic': 'Housing', 'subtopic': 'Year Moved In'}, {'topic': 'Housing', 'subtopic': 'Homeownership'}]","Asks for the year the mortgage was obtained or refinanced, a date-related mortgage variable tied to move/purchase timing and ownership history.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about the year a mortgage was obtained or refinanced, which is relevant to mortgage cost tracking and history."
5815,Housing,"Costs (Mortgage, Taxes, Insurance)",0.96,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Asks for the mortgage term (years to pay off), which is a core mortgage cost/structure detail affecting tenure and housing payments.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about the loan term (years to pay off), which is a fundamental mortgage cost parameter."
5816,Housing,"Costs (Mortgage, Taxes, Insurance)",0.97,"[{'topic': 'Housing', 'subtopic': 'Home Value'}]","Asks for the amount borrowed or refinanced, a mortgage amount directly related to housing financing and often compared to home value.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about the original loan amount borrowed or refinanced, which is a primary mortgage cost component."
5817,Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Government', 'subtopic': 'Federal Government'}, {'topic': 'Housing', 'subtopic': 'Homeownership'}]","Asks whether the mortgage is an FHA, VA, or RHS loan (federal loan programs), which is a mortgage-type detail impacting housing financing and involves federal programs.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.85,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about mortgage type (FHA, VA, RHS), which affects mortgage costs and terms."
5818,Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Expenses'}]","Asks whether payments are the same over the mortgage term (fixed vs. adjustable), a direct question about mortgage payment structure and housing expenses.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks whether mortgage payments remain constant, which relates to mortgage cost structure and payment patterns."
