Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
40. We would like to learn more about why people who experience identity theft do not report it to law enforcement. Why did you decide not to contact a law enforcement agency?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41. Next, I'm going to read you a list of other people and organizations that someone might contact when their personal information is misused. Which of the following people or organizations, if any, did you contact about misuse of your personal information? Did you... a.Contact the business or organization associated with the misuse? b.Hire a lawyer? c. Contact a State or local government consumer affairs agency, such as the State Attorney General's office? d.Contact the Federal Trade Commission? e.Contact a nongovernment consumer agency, such as the Better Business Bureau or the National Consumer League? f. Contact a government agency that issues documents like driver's licenses or Social Security cards? g.Contact a nongovernment agency that issues documents, such as insurance cards? h.Contact a credit monitoring service or identity theft insurance company? i. Contact an office or agency – other than the police – that deals with victims of crime? j. Contact some other group or organization not already mentioned?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42. The misuse of personal information affects people in different ways. Next, I would like to ask you some questions about how misuse of your personal information may have affected you. Did the misuse of your personal information lead you to have significant problems with your job or schoolwork or trouble with your boss, co-workers, or peers?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43. Did the misuse of your personal information lead you to have significant problems with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44. How distressing was the misuse of your personal information to you? Was it not at all distressing, mildly distressing, moderately distressing, or severely distressing?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45. Did you feel any of the following ways for A MONTH OR MORE because of misuse of your personal information? a. Worried or anxious? b. Angry? c. Sad or depressed? d. Vulnerable? e. Violated? f. Like you couldn’t trust people? g. Unsafe? h. Some other way?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46a. Did you seek any kind of professional help for the feelings you experienced as a result of misuse of your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47. Did you experience any of the following physical problems caused by misuse of your personal information for A MONTH OR MORE? Did you experience... a. Headaches? b. Trouble sleeping? c. Changes in your eating or drinking habits? d. Upset stomach? e. Fatigue? f. High blood pressure? g. Muscle tension or back pain? h. Some other problem?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48. Did you seek any kind of professional or medical help for the physical problems you just reported?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49. What kind of professional or medical help did you seek?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50. Do you know, or have you learned, anything at all about the person or persons who misused your personal information?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51. How well did you know this person or these people at the time of the incident? For example, was it a family member, friend, acquaintance, salesperson, or somebody else?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52. What is the approximate total dollar value of what someone obtained when they misused your personal information ? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53. Of this that was obtained during misuse of your personal information, how much of that money did you personally lose? That is, how much did you lose that was not covered or reimbursed by insurance, bank, or credit card company?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54a. Other than the costs you already told me about, , how much, IF ANY, additional costs did YOU incur as a result of misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages. 54b. How much, IF ANY, costs did YOU incur during misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55. Have you been successful in clearing up all of the financial and credit problems associated with misuse of your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56. How long did it take you to clear up all of the financial and credit problems associated with the misuse after you discovered it?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57. How many hours clearing up financial or credit problems associated with misuse of your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58. Other than anything we have already talked about, have you experienced any of the following problems as a result of misuse of your personal information? Have you… a. Had credit related problems, such as having to repeatedly correct the same information on your credit report, being turned down for credit or loans, changes in your credit score, or having to pay higher rates? b. Had banking problems, such as being turned down for a checking account or having checks bounce? c. Had debt collectors or collections departments contact you? d. Had utilities cut off or been denied new service? e. Been turned down for a job or lost a job? f. Had a lawsuit filed against you? g. Been the subject of an arrest or criminal proceedings? h. Had some other type of problems?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59. For the next few questions, please think about ALL of the misuses of your personal information during the last year, that is, since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR]. Including every incident that occurred over the past 12 months, not just the most recent, what is the approximate total dollar value of what someone obtained while misusing your personal information? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60. Not counting the dollars that were obtained during ALL incidents of identity theft in the past 12 months, what were the total additional costs, that YOU incurred as a result of the misuses of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"61. Not including the past 12 months, has anyone EVER, without your permission:",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62. At any point during the past 12 months did you experience credit or other financial problems, legal problems, relationship problems with family or friends, problems at work or school, physical problems, or emotional distress as a result of the identity theft that happened to you more than 12 months ago?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"63. During the past 12 months, have you experienced any of the following consequences as a result of the identity theft that occurred more than 12 months ago? Have you had… a.Significant problems with your job or schoolwork, or trouble with your boss, co-workers, or peers during the past 12 months? b.Significant problems during the past 12 months with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before? c. Experienced any of the following feelings for a month or more during the past 12 months: worry, anger, sadness or depression, vulnerability, feeling violated, like you couldn’t trust people, or feeling that you were unsafe? d.Had physical problems during the past 12 months resulting from the misuse of your personal information, such as headaches, trouble sleeping, changes in your eating or drinking habits, an upset stomach, high blood pressure or some other physical problem? e.Had credit related problems during the past 12 months, such as having to repeatedly correct the same information on your credit report, being turned down for credit, loans or having to pay higher rates? f. Had banking problems during the past 12 months, such as being turned down for a checking account or having checks bounce? g. Had debt collectors or collections departments contact you during the past 12 months? h. Had utilities cut off or been denied new service during the past 12 months? i. Been turned down for a job or lost a job during the past 12 months? j. Had legal problems, such as having a lawsuit filed against you or being the subject of an arrest or criminal proceedings, during the past 12 months? k. Had some other type of problems during the past 12 months?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64. Now I’m going to ask you about any actions taken to prevent someone from obtaining your personal information. In the past 12 months, that is since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR], have you: a. Checked your credit report? b. Changed passwords on any of your financial accounts? c. Purchased identity theft protection from a company that offers protection services? d. Purchased credit monitoring or identity theft insurance? e. Shredded or destroyed documents containing your personal information? f. Checked your banking or credit card statements for unfamiliar charges? g. Used security software program on your computer to protect against loss of credit cards/card theft?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65. You said that during the past 12 months, you . Did you take any of these actions as a result of previous misuse of your personal information?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66. You said that during the past 12 months you: . Which actions did you take in direct response to any previous misuse of your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67. My final questions involve organizations that may have your personal information in their files. During the past 12 months, did a company, government agency, or some other organization that has your personal information: a. Notify you or announce publicly that some or all of their files or data may have been stolen, lost, or posted on a publicly available website? b. Did they notify you directly that YOUR personal information may have been stolen, lost, or posted on a publicly available website?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68. Did this personal information include your Social Security number?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SQ1. In the past 12 months, have you experienced any unwanted contacts or behaviors? By that I mean… SQ_FOLLOWED a. Has anyone followed you around and watched you? b. Has anyone snuck into your home, car, or any place else and done unwanted things to let you know they had been there? c. Has anyone waited for you at your home, work, school, or any place else when you didn't want them to? d. Has anyone shown up, ridden or driven by places where you were when they had no business being there? f. Has anyone harassed or repeatedly asked your friends or family for information about you or your whereabouts? g. Has anyone made unwanted phone calls to you, left voice messages, sent text messages, or used the phone excessivley to contact you? h. Has anyone spied on you or monitored your activities using technologies such as a listening device, camera, or computer or cell phone monitoring software? i. Has anyone tracked your whereabouts with an electronic tracking device or application, such as GPS or an application on your cell phone? j. Has anyone posted or threatened to post inappropriate, unwanted, or personal information about you on the internet, including private photographs, videos, or spreading rumors? k. Has anyone sent you unwanted e-mails or messages using the Internet, for example, using social media apps or websites like Instagram, Twitter, or Facebook? I. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SQ_SOCIALMEDIA l. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ_REPETITION SQ2. Has anyone done (this/any of these things) to you more than once in the past 12 months?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ_FEAR SQ3a. Did any of these unwanted contacts or behaviors make you fear for your safety or the safety of someone close to you?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ_DISTRESS SQ3b. Did any of these unwanted contacts or behaviors cause you substantial emotional distress?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ_PROPERTY SQ4. Did this person or these people damage or attempt to damage or destroy property belonging to you or someone else in your household?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ5. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_SELF Physically attack you? Attempt to physically attack you? Threaten to physically attack you?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ6. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_OTH Physically attack someone close to you or a pet? Attempt to physically attack someone close to you or a pet? Threaten to physically attack someone close to you or a pet?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OFFENDER_NUMB OFFENDER_NUMBSP Q1. Thinking about the unwanted contacts or behaviors you experienced in the past 12 months, how many different people have done these things to you?",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENDER_ACT Q2a. Did these people act alone or together as a team?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OFFENDER_MOST Q2b. Of the people who did these things to you, is there ONE person who you would consider to be the MOST responsible for these unwanted contacts or behaviors? Is this person male or female? How old would you say this person is? Is this person Hispanic or Latino? What race or races is this person? You may select more than one. Is this person...",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENDER1_REL OFFENDER1_RELSP OFFENDER1_NONSP Q7. What was your relationship to the person who committed these unwanted contacts or behaviors when they first began?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENDERS_SEX Q8a. Are these people male or female?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENDERS_SEX2 Q8b. Are most of these people male or female?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENDERS_AGE Q9. How old would you say these people are?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENDERS_HISP Q10a. Are any of these people Hispanic or Latino?,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
